 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
121,0.75087,121,0.56841,121,0,121,-0.56841
122,0.75087,122,0.56841,122,0,122,-0.56841
123,0.75087,123,0.56841,123,0,123,-0.56841
124,0.75087,124,0.56841,124,0,124,-0.56841
125,0.75087,125,0.56841,125,0,125,-0.56841
126,0.75087,126,0.56841,126,0,126,-0.56841
127,0.75087,127,0.56841,127,0,127,-0.56841
128,0.75087,128,0.56841,128,0,128,-0.56841
129,0.75087,129,0.56841,129,0,129,-0.56841
130,0.75087,130,0.56841,130,0,130,-0.56841
131,0.75087,131,0.56841,131,0,131,-0.56841
132,0.75087,132,0.56841,132,0,132,-0.56841
133,0.75087,133,0.56841,133,0,133,-0.56841
134,0.75087,134,0.56841,134,0,134,-0.56841
135,0.75087,135,0.56841,135,0,135,-0.56841
136,0.75087,136,0.56841,136,0,136,-0.56841
137,0.75087,137,0.56841,137,0,137,-0.56841
138,0.75087,138,0.56841,138,0,138,-0.56841
139,0.75087,139,0.56841,139,0,139,-0.56841
140,0.75087,140,0.56841,140,0,140,-0.56841
141,0.75087,141,0.56841,141,0,141,-0.56841
142,0.75087,142,0.56841,142,0,142,-0.56841
143,0.75087,143,0.56841,143,0,143,-0.56841
144,0.75087,144,0.56841,144,0,144,-0.56841
145,0.75087,145,0.56841,145,0,145,-0.56841
146,0.75087,146,0.56841,146,0,146,-0.56841
147,0.75087,147,0.56841,147,0,147,-0.56841
148,0.75087,148,0.56841,148,0,148,-0.56841
149,0.75087,149,0.56841,149,0,149,-0.56841
150,0.75087,150,0.56841,150,0,150,-0.56841
151,0.75087,151,0.56841,151,0,151,-0.56841
152,0.75087,152,0.56841,152,0,152,-0.56841
153,0.75087,153,0.56841,153,0,153,-0.56841
154,0.75087,154,0.56841,154,0,154,-0.56841
155,0.75087,155,0.56841,155,0,155,-0.56841
156,0.75087,156,0.56841,156,0,156,-0.56841
157,0.75087,157,0.56841,157,0,157,-0.56841
158,0.75087,158,0.56841,158,0,158,-0.56841
159,0.75087,159,0.56841,159,0,159,-0.56841
160,0.75087,160,0.56841,160,0,160,-0.56841
161,0.75087,161,0.56841,161,0,161,-0.56841
162,0.75087,162,0.56841,162,0,162,-0.56841
163,0.75087,163,0.56841,163,0,163,-0.56841
164,0.75087,164,0.56841,164,0,164,-0.56841
165,0.75087,165,0.56841,165,0,165,-0.56841
166,0.75087,166,0.56841,166,0,166,-0.56841
167,0.75087,167,0.56841,167,0,167,-0.56841
168,0.75087,168,0.56841,168,0,168,-0.56841
169,0.75087,169,0.56841,169,0,169,-0.56841
170,0.75087,170,0.56841,170,0,170,-0.56841
171,0.75087,171,0.56841,171,0,171,-0.56841
172,0.75087,172,0.56841,172,0,172,-0.56841
173,0.75087,173,0.56841,173,0,173,-0.56841
174,0.75087,174,0.56841,174,0,174,-0.56841
175,0.75087,175,0.56841,175,0,175,-0.56841
176,0.75087,176,0.56841,176,0,176,-0.56841
177,0.75087,177,0.56841,177,0,177,-0.56841
178,0.75087,178,0.56841,178,0,178,-0.56841
179,0.75087,179,0.56841,179,0,179,-0.56841
180,0.75087,180,0.56841,180,0,180,-0.56841
181,0.75087,181,0.56841,181,0,181,-0.56841
182,0.75087,182,0.56841,182,0,182,-0.56841
183,0.75087,183,0.56841,183,0,183,-0.56841
184,0.75087,184,0.56841,184,0,184,-0.56841
185,0.75087,185,0.56841,185,0,185,-0.56841
186,0.75087,186,0.56841,186,0,186,-0.56841
187,0.75087,187,0.56841,187,0,187,-0.56841
188,0.75087,188,0.56841,188,0,188,-0.56841
189,0.75087,189,0.56841,189,0,189,-0.56841
190,0.75087,190,0.56841,190,0,190,-0.56841
191,0.75087,191,0.56841,191,0,191,-0.56841
192,0.75087,192,0.56841,192,0,192,-0.56841
193,0.75087,193,0.56841,193,0,193,-0.56841
194,0.75087,194,0.56841,194,0,194,-0.56841
