 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
125,0.979,125,0.67598,125,0,125,-0.67598
126,0.979,126,0.67598,126,0,126,-0.67598
127,0.979,127,0.67598,127,0,127,-0.67598
128,0.979,128,0.67598,128,0,128,-0.67598
129,0.979,129,0.67598,129,0,129,-0.67598
130,0.979,130,0.67598,130,0,130,-0.67598
131,0.979,131,0.67598,131,0,131,-0.67598
132,0.979,132,0.67598,132,0,132,-0.67598
133,0.979,133,0.67598,133,0,133,-0.67598
134,0.979,134,0.67598,134,0,134,-0.67598
135,0.979,135,0.67598,135,0,135,-0.67598
136,0.979,136,0.67598,136,0,136,-0.67598
137,0.979,137,0.67598,137,0,137,-0.67598
138,0.979,138,0.67598,138,0,138,-0.67598
139,0.979,139,0.67598,139,0,139,-0.67598
140,0.979,140,0.67598,140,0,140,-0.67598
141,0.979,141,0.67598,141,0,141,-0.67598
142,0.979,142,0.67598,142,0,142,-0.67598
143,0.979,143,0.67598,143,0,143,-0.67598
144,0.979,144,0.67598,144,0,144,-0.67598
145,0.979,145,0.67598,145,0,145,-0.67598
146,0.979,146,0.67598,146,0,146,-0.67598
147,0.979,147,0.67598,147,0,147,-0.67598
148,0.979,148,0.67598,148,0,148,-0.67598
149,0.979,149,0.67598,149,0,149,-0.67598
150,0.979,150,0.67598,150,0,150,-0.67598
151,0.979,151,0.67598,151,0,151,-0.67598
152,0.979,152,0.67598,152,0,152,-0.67598
153,0.979,153,0.67598,153,0,153,-0.67598
154,0.979,154,0.67598,154,0,154,-0.67598
155,0.979,155,0.67598,155,0,155,-0.67598
156,0.979,156,0.67598,156,0,156,-0.67598
157,0.979,157,0.67598,157,0,157,-0.67598
158,0.979,158,0.67598,158,0,158,-0.67598
159,0.979,159,0.67598,159,0,159,-0.67598
160,0.979,160,0.67598,160,0,160,-0.67598
161,0.979,161,0.67598,161,0,161,-0.67598
162,0.979,162,0.67598,162,0,162,-0.67598
163,0.979,163,0.67598,163,0,163,-0.67598
164,0.979,164,0.67598,164,0,164,-0.67598
165,0.979,165,0.67598,165,0,165,-0.67598
166,0.979,166,0.67598,166,0,166,-0.67598
167,0.979,167,0.67598,167,0,167,-0.67598
168,0.979,168,0.67598,168,0,168,-0.67598
169,0.979,169,0.67598,169,0,169,-0.67598
170,0.979,170,0.67598,170,0,170,-0.67598
171,0.979,171,0.67598,171,0,171,-0.67598
172,0.979,172,0.67598,172,0,172,-0.67598
173,0.979,173,0.67598,173,0,173,-0.67598
174,0.979,174,0.67598,174,0,174,-0.67598
175,0.979,175,0.67598,175,0,175,-0.67598
176,0.979,176,0.67598,176,0,176,-0.67598
177,0.979,177,0.67598,177,0,177,-0.67598
178,0.979,178,0.67598,178,0,178,-0.67598
179,0.979,179,0.67598,179,0,179,-0.67598
180,0.979,180,0.67598,180,0,180,-0.67598
181,0.979,181,0.67598,181,0,181,-0.67598
182,0.979,182,0.67598,182,0,182,-0.67598
183,0.979,183,0.67598,183,0,183,-0.67598
184,0.979,184,0.67598,184,0,184,-0.67598
185,0.979,185,0.67598,185,0,185,-0.67598
186,0.979,186,0.67598,186,0,186,-0.67598
187,0.979,187,0.67598,187,0,187,-0.67598
188,0.979,188,0.67598,188,0,188,-0.67598
189,0.979,189,0.67598,189,0,189,-0.67598
190,0.979,190,0.67598,190,0,190,-0.67598
191,0.979,191,0.67598,191,0,191,-0.67598
192,0.979,192,0.67598,192,0,192,-0.67598
193,0.979,193,0.67598,193,0,193,-0.67598
194,0.979,194,0.67598,194,0,194,-0.67598
195,0.979,195,0.67598,195,0,195,-0.67598
196,0.979,196,0.67598,196,0,196,-0.67598
197,0.979,197,0.67598,197,0,197,-0.67598
198,0.979,198,0.67598,198,0,198,-0.67598
199,0.979,199,0.67598,199,0,199,-0.67598
200,0.979,200,0.67598,200,0,200,-0.67598
201,0.979,201,0.67598,201,0,201,-0.67598
202,0.979,202,0.67598,202,0,202,-0.67598
203,0.979,203,0.67598,203,0,203,-0.67598
204,0.979,204,0.67598,204,0,204,-0.67598
205,0.979,205,0.67598,205,0,205,-0.67598
206,0.979,206,0.67598,206,0,206,-0.67598
207,0.979,207,0.67598,207,0,207,-0.67598
208,0.979,208,0.67598,208,0,208,-0.67598
209,0.979,209,0.67598,209,0,209,-0.67598
210,0.979,210,0.67598,210,0,210,-0.67598
211,0.979,211,0.67598,211,0,211,-0.67598
212,0.979,212,0.67598,212,0,212,-0.67598
213,0.979,213,0.67598,213,0,213,-0.67598
214,0.979,214,0.67598,214,0,214,-0.67598
215,0.979,215,0.67598,215,0,215,-0.67598
216,0.979,216,0.67598,216,0,216,-0.67598
217,0.979,217,0.67598,217,0,217,-0.67598
218,0.979,218,0.67598,218,0,218,-0.67598
219,0.979,219,0.67598,219,0,219,-0.67598
220,0.979,220,0.67598,220,0,220,-0.67598
221,0.979,221,0.67598,221,0,221,-0.67598
222,0.979,222,0.67598,222,0,222,-0.67598
223,0.979,223,0.67598,223,0,223,-0.67598
224,0.979,224,0.67598,224,0,224,-0.67598
225,0.979,225,0.67598,225,0,225,-0.67598
226,0.979,226,0.67598,226,0,226,-0.67598
227,0.979,227,0.67598,227,0,227,-0.67598
228,0.979,228,0.67598,228,0,228,-0.67598
229,0.979,229,0.67598,229,0,229,-0.67598
230,0.979,230,0.67598,230,0,230,-0.67598
231,0.979,231,0.67598,231,0,231,-0.67598
232,0.979,232,0.67598,232,0,232,-0.67598
233,0.979,233,0.67598,233,0,233,-0.67598
234,0.979,234,0.67598,234,0,234,-0.67598
235,0.979,235,0.67598,235,0,235,-0.67598
236,0.979,236,0.67598,236,0,236,-0.67598
237,0.979,237,0.67598,237,0,237,-0.67598
238,0.979,238,0.67598,238,0,238,-0.67598
239,0.979,239,0.67598,239,0,239,-0.67598
240,0.979,240,0.67598,240,0,240,-0.67598
241,0.979,241,0.67598,241,0,241,-0.67598
242,0.979,242,0.67598,242,0,242,-0.67598
243,0.979,243,0.67598,243,0,243,-0.67598
244,0.979,244,0.67598,244,0,244,-0.67598
245,0.979,245,0.67598,245,0,245,-0.67598
246,0.979,246,0.67598,246,0,246,-0.67598
247,0.979,247,0.67598,247,0,247,-0.67598
248,0.979,248,0.67598,248,0,248,-0.67598
249,0.979,249,0.67598,249,0,249,-0.67598
250,0.979,250,0.67598,250,0,250,-0.67598
251,0.979,251,0.67598,251,0,251,-0.67598
252,0.979,252,0.67598,252,0,252,-0.67598
253,0.979,253,0.67598,253,0,253,-0.67598
254,0.979,254,0.67598,254,0,254,-0.67598
255,0.979,255,0.67598,255,0,255,-0.67598
256,0.979,256,0.67598,256,0,256,-0.67598
257,0.979,257,0.67598,257,0,257,-0.67598
258,0.979,258,0.67598,258,0,258,-0.67598
259,0.979,259,0.67598,259,0,259,-0.67598
260,0.979,260,0.67598,260,0,260,-0.67598
261,0.979,261,0.67598,261,0,261,-0.67598
262,0.979,262,0.67598,262,0,262,-0.67598
263,0.979,263,0.67598,263,0,263,-0.67598
264,0.979,264,0.67598,264,0,264,-0.67598
265,0.979,265,0.67598,265,0,265,-0.67598
266,0.979,266,0.67598,266,0,266,-0.67598
267,0.979,267,0.67598,267,0,267,-0.67598
268,0.979,268,0.67598,268,0,268,-0.67598
269,0.979,269,0.67598,269,0,269,-0.67598
270,0.979,270,0.67598,270,0,270,-0.67598
271,0.979,271,0.67598,271,0,271,-0.67598
272,0.979,272,0.67598,272,0,272,-0.67598
273,0.979,273,0.67598,273,0,273,-0.67598
274,0.979,274,0.67598,274,0,274,-0.67598
275,0.979,275,0.67598,275,0,275,-0.67598
276,0.979,276,0.67598,276,0,276,-0.67598
277,0.979,277,0.67598,277,0,277,-0.67598
278,0.979,278,0.67598,278,0,278,-0.67598
279,0.979,279,0.67598,279,0,279,-0.67598
280,0.979,280,0.67598,280,0,280,-0.67598
281,0.979,281,0.67598,281,0,281,-0.67598
282,0.979,282,0.67598,282,0,282,-0.67598
283,0.979,283,0.67598,283,0,283,-0.67598
284,0.979,284,0.67598,284,0,284,-0.67598
285,0.979,285,0.67598,285,0,285,-0.67598
286,0.979,286,0.67598,286,0,286,-0.67598
287,0.979,287,0.67598,287,0,287,-0.67598
288,0.979,288,0.67598,288,0,288,-0.67598
289,0.979,289,0.67598,289,0,289,-0.67598
290,0.979,290,0.67598,290,0,290,-0.67598
291,0.979,291,0.67598,291,0,291,-0.67598
292,0.979,292,0.67598,292,0,292,-0.67598
293,0.979,293,0.67598,293,0,293,-0.67598
294,0.979,294,0.67598,294,0,294,-0.67598
295,0.979,295,0.67598,295,0,295,-0.67598
296,0.979,296,0.67598,296,0,296,-0.67598
297,0.979,297,0.67598,297,0,297,-0.67598
298,0.979,298,0.67598,298,0,298,-0.67598
299,0.979,299,0.67598,299,0,299,-0.67598
300,0.979,300,0.67598,300,0,300,-0.67598
301,0.979,301,0.67598,301,0,301,-0.67598
302,0.979,302,0.67598,302,0,302,-0.67598
303,0.979,303,0.67598,303,0,303,-0.67598
304,0.979,304,0.67598,304,0,304,-0.67598
305,0.979,305,0.67598,305,0,305,-0.67598
306,0.979,306,0.67598,306,0,306,-0.67598
307,0.979,307,0.67598,307,0,307,-0.67598
308,0.979,308,0.67598,308,0,308,-0.67598
309,0.979,309,0.67598,309,0,309,-0.67598
310,0.979,310,0.67598,310,0,310,-0.67598
311,0.979,311,0.67598,311,0,311,-0.67598
312,0.979,312,0.67598,312,0,312,-0.67598
313,0.979,313,0.67598,313,0,313,-0.67598
314,0.979,314,0.67598,314,0,314,-0.67598
315,0.979,315,0.67598,315,0,315,-0.67598
316,0.979,316,0.67598,316,0,316,-0.67598
317,0.979,317,0.67598,317,0,317,-0.67598
318,0.979,318,0.67598,318,0,318,-0.67598
319,0.979,319,0.67598,319,0,319,-0.67598
320,0.979,320,0.67598,320,0,320,-0.67598
321,0.979,321,0.67598,321,0,321,-0.67598
322,0.979,322,0.67598,322,0,322,-0.67598
323,0.979,323,0.67598,323,0,323,-0.67598
324,0.979,324,0.67598,324,0,324,-0.67598
325,0.979,325,0.67598,325,0,325,-0.67598
326,0.979,326,0.67598,326,0,326,-0.67598
327,0.979,327,0.67598,327,0,327,-0.67598
328,0.979,328,0.67598,328,0,328,-0.67598
329,0.979,329,0.67598,329,0,329,-0.67598
330,0.979,330,0.67598,330,0,330,-0.67598
331,0.979,331,0.67598,331,0,331,-0.67598
332,0.979,332,0.67598,332,0,332,-0.67598
333,0.979,333,0.67598,333,0,333,-0.67598
334,0.979,334,0.67598,334,0,334,-0.67598
335,0.979,335,0.67598,335,0,335,-0.67598
336,0.979,336,0.67598,336,0,336,-0.67598
337,0.979,337,0.67598,337,0,337,-0.67598
338,0.979,338,0.67598,338,0,338,-0.67598
339,0.979,339,0.67598,339,0,339,-0.67598
340,0.979,340,0.67598,340,0,340,-0.67598
341,0.979,341,0.67598,341,0,341,-0.67598
342,0.979,342,0.67598,342,0,342,-0.67598
343,0.979,343,0.67598,343,0,343,-0.67598
344,0.979,344,0.67598,344,0,344,-0.67598
